# source: http://pe.usps.com/text/pub28/28c2_003.htm
Apartment
APT
Basement
BSMT
Building
BLDG
Department
DEPT
Floor
FL
Front
Hanger
HNGR
Key
KEY
Lobby
Lot
LOT
Lower
Office
OFC
Penthouse
PH
Pier
PIER
Rear
REAR
Room
RM
Side
SIDE
Slip
SLIP
Space
SPC
Stop
STOP
Suite
STE
Trailer
TRLR
Unit
UNIT
Upper
UPPR
