# source: http://en.wikipedia.org/wiki/Street_or_road_name
Avenue
Boulevard
Road
Street
Bend
Drive
Gardens
Gate
Grove
Heights
Highlands
Lane
Manor
Terrace
View
Walk
Way
Court
Place
Cove
Circle
Crescent
Loop
Hill
Canyon
Ridge
Parkway
Park
Plaza
Quay
